ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
West Midlands,E08000030,Walsall,255540,255808,254899,253333,254287,255352,256702,258172,259454,260939,263034,264774,266834,269524,270517,271704,273764,275490,278429,281229,282921,284600,284578,284392,286105
West Midlands,E08000031,Wolverhampton,242015,240691,239537,238016,239088,239851,240567,241647,242889,243910,245349,246016,247640,249852,251444,252358,254351,256127,258305,260648,262474,263519,263123,264260,267651
East,E06000031,Peterborough,155877,156520,156616,157439,158794,160778,163485,167220,169887,172443,176027,178963,181762,184457,188675,192488,195766,200246,205091,208237,211037,213026,213718,216470,217705
East,E07000008,Cambridge,109162,109870,109923,109941,109543,111317,112167,117217,116654,115454,116183,116746,120219,122725,124679,127819,130432,133654,136054,138462,141726,143153,143741,145022,146995
East,E07000009,East Cambridgeshire,71308,71243,72676,73411,74328,77447,75996,77224,78429,79923,81035,82357,83303,84245,85101,85483,86316,86757,86952,87016,86885,87010,86948,88125,89394
East,E07000010,Fenland,81311,82310,82881,83687,84676,86296,87983,88968,90647,92713,93653,94404,95135,95461,96429,97556,98571,99991,101075,102029,102346,102487,102228,102731,103035
East,E07000011,Huntingdonshire,154776,155570,157213,157189,158476,159626,162654,162822,163896,164764,166346,167052,168352,170039,171437,172540,174283,175647,176425,176743,176909,176968,177816,181827,184052
East,E07000012,South Cambridgeshire,128389,128589,128675,130476,131893,134057,135645,137420,139264,141484,143591,145679,147890,149842,151133,151598,153423,154962,156780,157215,157810,159031,160548,163042,165633
East,E07000200,Babergh,81296,82058,82923,83538,84112,85066,85622,85957,86698,86916,87260,87411,87467,87901,88144,88420,88999,89391,89584,89918,90456,90917,91491,92724,94277
East,E07000202,Ipswich,115818,116276,116565,117156,117818,119210,121175,124028,124753,125471,127387,129320,131729,133729,135694,136760,138108,139694,141245,141922,141643,140809,139889,139638,139247
East,E07000203,Mid Suffolk,83121,85083,85964,87015,87684,88274,89492,90795,92070,93817,94603,95250,96244,97076,97432,97636,98404,98760,98731,99263,99744,100840,101570,103398,105723
East,E07000244,East Suffolk,224501,225138,227067,227736,228974,230868,233329,235651,237032,239249,240139,239877,239932,239946,239607,239921,239929,240479,241807,243496,244313,245052,245482,246776,247080
East,E07000245,West Suffolk,159298,158787,159987,154468,155991,157990,159469,161406,162408,163691,164959,166325,168604,171481,171820,172138,174735,176177,176416,178991,179189,179703,178236,180813,182228
East,E07000144,Broadland,115532,116766,117796,118814,119391,120333,121039,121637,122412,123242,123387,123819,124483,124740,124952,125081,125305,125837,126642,127708,128674,129721,130760,132238,133872
East,E07000145,Great Yarmouth,89323,90008,90490,90945,91437,92526,93316,94113,94545,95211,95924,96414,97063,97424,97682,98076,98520,99031,99471,100181,100343,100448,99851,100179,99862
East,E07000148,Norwich,121714,121199,121604,122366,122376,122963,123857,125630,126805,126949,128034,129219,130923,132158,134378,136514,137631,138625,141332,142110,143830,143300,143935,143217,144525
East,E07000146,King's Lynn and West Norfolk,133834,133698,134957,135565,136831,138272,139621,140959,142790,144274,145551,146428,147134,147936,148938,149722,150742,151863,152867,153666,153451,153332,153023,154920,155741
East,E07000147,North Norfolk,97418,97705,98226,98495,98723,99121,99374,99638,99907,100338,100887,100556,100780,101664,101445,101410,102012,101973,102176,102718,102523,102509,102064,103239,103227
East,E07000143,Breckland,115956,118526,120400,121585,122222,123247,123944,125493,126551,127797,128938,129431,129932,131009,131701,132905,134204,135667,137190,138592,139146,139523,140408,142160,143479
East,E07000149,South Norfolk,107086,108552,110036,110848,112483,113665,114539,115420,116052,117134,118774,120488,122611,124495,125680,127063,128572,129942,131472,133573,135560,138131,139842,142509,144593
East,E06000032,Luton,184264,184990,185491,185889,185631,185016,183563,185392,187312,189742,192084,195449,199583,203641,205873,209624,213749,217612,220952,220752,221532,223106,224132,224958,226973
East,E07000095,Broxbourne,83081,84765,86104,87203,87700,87817,87805,88800,89684,90833,91630,92395,93085,93702,94990,95712,96776,97275,98153,98096,98317,98869,99311,99142,99103
